,Unnamed: 0.1,Unnamed: 0,author,b_name,p_num,text
0,0,37,bahar,robaeebk,20,اقسام سخن همه‌جا فخر مدیح نسیب هجا فخر نسیب مدح بردی سود وقت هجا نشانمت بجا خصم کشیدن وفا جور جفا برهان نزاکت دستور صفا کشور اصل نزاکت واویلا وامصیبتا وا اسفا آزادی ماست اصل آبادی نتیجه خدادادی آزاد بزی نگر نشود آزادی رهزن آزادی مخلوق جهان گرگ درست قادر عاجزند عاجز چست سستند گیرودار باشی سخت سختند کارزار باشی سست دامن کوه لاله ناگه برجست گلگون‌رخی تیشه سبزی دست فرق سر دریده گویی فرهاد خاک برون سنگ دامن دشت بنگر نرگس مست چشمی ره سبزه عصایی دست گویی مجنون انتظار لیلی گور برون سبزه ستار غیور ارجمندیت بجاست قانون‌طلبی حق‌پسندیت بجاست صدمت پا منال کوتاهی گام خوشبخت نشین سربلندیت بجاست پرهیز پرهیز اینجاست وز کس مطلب اینجاست راز خدا می‌گردی راز دل جو خدا اینجاست بخل حسادت جهان راهبر آزاده ذلیل راستگو خون مدرسا هدر گشت بلی خونی شبی گذشت هدر هان‌ای وکلا فضل خدا یار شماست آسایش حس بیدار شماست کار بکوشید خدا کامروز چشم دل گوش خلق کار شماست امروز کس ز عشق آگه چو کز شکر عشقم شیرین سخن مژه ره خسرو عشق نیروی هزار تیشه کوهکن آیین جهان طبل جفا کوفتن خایسک بلا سر کوفتن کشتن کشته مردان راست کانجا زنست رقص پا کوفتن برگ گلم باغ شبستان وآن بلبل خوش‌لهجه غزلخوان نوباوه شب شبنمش می‌خوانند صبح نیم بوسه مهمان خوش باش گیتی توست وین کار برون ز ماجرای توست خلقت عالم مقصودی قصدی ورای توست ادوارد براون فاضل ایران‌دوست کش نکو ، قول نکو ، فعل نکوست مردم انگلیس مردم پارس گر مرحمتی اوست ارباب صنعت وجاهت فن اوست خون فقرا گردن اوست طاوس بهشت صورت لیکن ابلیس نهفته پیراهن اوست برخاست خروس صبح برخیز ای دوست ز انگور بگیر خون ده رگ پوست عشق قصه مشت درفش جور دل صحبت سنگ سبوست ماتمت ای ملک ، ملک خون بگریست وز سوز افق فلک خون بگریست خاک‌نشین شدی تو‌ای گنج کمال زین غصه سماک سمک خون بگریست قلب محزون‌تر وین چشم خون‌تر دانی ز شکسته وین خونین زان حسن افزون‌تر افسوس صاحب نفسی فریاد ، فریادرسی بس لابه نمودیم کس آواز نداد پیداست خانه
1,1,24,samet,ghataat-va-nasayeh,20,شنیدم ز مغروری مستی ز دستی زیردستی نکرد اندیشه دهر رنگی بزد فرق بیچاره سنگی روان گردید خون سنگش ین مرد درنگش سنگ محزون زمانه منزل روانه قضا گشت اندر درگه شاه ظالم ز مغضوبان درگاه اورنگ جاهش نشمین زندان چاهش چو اندر کنج زندانش مقر مظلوم باخبر زندان روان دل‌تنگ بزد قهر فرقش سنگ بنالید بزارید فغان خروش بی‌کسی دل برآورد که‌ای بی‌رحم فرصت بودی داغ دلم داغی فزودی بگفتا کسم کز زیردستی سرم سنگ بی‌باکی شکستی روزی سر سنگ خوردم نمودم صبر بی‌تابی نکردم چو دامن فرصت دستم سرم بشکستی فرقت شکستم ز نخل سرکش میوه خوردی سزای کرده‌های بردی غرض‌گر خواجه حکمرانی مده آزار کس می‌توانی گرفتم نارد کس دست خدای دادخواهی هست مگر‌ای بی‌خبر کین شعاری خبر آه مظلومان نداری که‌گر مظلوم بهر خواهی_شبی آهی کشد صبحگاهی خدا برق غیرت برفروزد کجا خواهد_بسوزد بلی ( صامت ) سزای جنگ جنگ کلوخ‌انداز پاداش سنگ بیچاره‌ای محنت رسیده دوران کور محروم دیده نهان پرده عصمت زنی چو شیطان دزد رهزنی افسون حیل دایم شب روز زدی قلب شوهر تیر دلدوز دمادم عشوه‌ای بنیاد کردی افسانه‌اش دلشاد کردی صد حیف حسن یگانه شدی محروم زمانه دریغا‌گر چشمی سر رخسار جمال ره رویم دیده_بودی گل گلزار حسنم چیده_بودی ز شوق طلعتم بس نیکوست نگنجیدی بسان مغز پوست بدیدی‌گر سیب غبغبم چشمه نوش لبم شدی یکباره سرت هوش نمودی چشمه حیوان فراموش سواد زلف جعد مشک بویم بیاض طلعت نکویم چشم حور غلمان سرمه رضوان روزن جنت گشاده همخوابه نیکویی طاق ندیده_است نبیند چشم آفاق بدان مکاره پرحیله فن بگفتا مرد کور قلب روشن گر نظاره چشمم ناامید عقل مطلب بعید رخ زیبا داری بدین سرو قد رعنا داری کجا منی همراز بودی کوری مرا دمساز بودی گرفتم کز حقیقت کور رسم وفا می‌بود گرد آباد کشور بسی رندان قلندر سر رندی تاج گیرند ز ماه آسمانی باج گیرند دیدندی جمال دل‌فریبت گوهر کف مفلس غریبت ساعت دست غارت می‌گشودند دامن می‌ربودند غرض سخن بی‌قیل قالست عشوه دنیا مثال اندر جهان کی مرد عاقل نیرنگ عجوز دهر مایل زال زمانه باوفا زمانی یار مردان خدا نبودش‌گر طریق بی‌وفایی خوبان جدایی ز وصل نباشد شاد مسرور مگر چشمی فی‌الواقع کور مگو ( صامت ) پند برو برون بنما بند شهریاران زمانه نام نشانه سقراط دانا سر خوابش دید گذر بدان دانا حکیم ، فتنه‌انگیز سر پایی بزد کز برخیز خواب خردمند هشیوار ز گستاخی سلطان گشت بیدار بدان جاه جلال پادشاهی ننمود بی‌اعتنایی شه نادان پرخاش کی بیخودی دم باش مرا محکم اساسی ندانی کیستم می‌شناسی جوابش سقراط خردمند کزین گفتار باطل لب فروبند ین کبر منی ندانم حیوانی لگد زن وگرنه ستایی چو حیوان لگد افکن چرایی گر انسانی چرا‌ای مرد گمراه زنی خوابیده خواب ناگاه ز گفتار ، مار ارقم غضب آلوده_شد پیچید بدو گفتا ز کبر نخوت سلطان کی گویند رعیت مکش افزون ز خویشتن پا بنده‌ای مولی تبسمکرد سقراط سلطان فرمود کای سلطان نادان بخار سر کن ز ناپسند حذر کن شیادی گردون شید صیادی چو بسی صید طبل نقاره کوس ز اسفندیار نوذر طوس تاج نگین افسر تخت ز ضحاک سیه بخت سنج بوق علم طهمورث جمشید
2,2,25,samet,monajat-ba-ghaziyolhajat,20,ای پرده‌پوش معصیت عاصیان درگه دیده امید عام کار عفو بخشش انعام روز شب شغل فضل رحمت اکرام صبح شام معصیت نکرده خواهم_ز بهشت ای خاک سر آرزوی خام ساترالعیوب غافرالذنوب خالق‌العباد باعث‌الانام انشاتنی فضلک منشی‌النفوس احییتنی بصنعک محبی‌العظام راضی مشو شعله نیران شوم مقیم آتش سوزان مقام ترحم درافکنی ختم مساعد کارم کام رب بهار عمر جوانی خورشید عمر ساخته منزل کنج بام عمریست کشاکش نفس فکنده_است مرغ اطاعت گمگشته دام جرم خطا سر نمی‌زند گیرم سازد دوام انعام عام مگر آخر بدل جرم طاعت ننگ نام ورنه خجالت اعمال باغ بهشت ملک جهان حرام ار حجاب ز افعال زشت دست انتقام کس پرده‌پوش گناهان کجاست عذاب بخشد امان رب حق جمله خاصان درگهت رب حق رتبه پیغمبر امام لوح ( صامت ) بکش قلم وانگه نمای منزل وادی السلام ای خالقی صانع ارض سما تویی معبود کائنات ز شاه گدا تویی چشم امید ممکنات کس بقا تویی ورطه مهالک آلام صعب سخت یاری دهنده کجا تویی روز حشر وقت حساب دم صراط دیان دین حاکم یوم‌الجزا تویی عاصیان بی‌سروپا طریق لطف توبه جانب رهنما تویی جرم گه ز عطا کرم ز بیگانگی ز آشنا تویی بی‌کسان مضطر درمانده ضعیف گوش زبان چشم دل دست پا تویی مجرمیم مذنب مردود تیره‌بخت بخشنده معاصی جرم عطا تویی شخص گناه ثوابست بی‌نیاز محتاج کی فعل بد نیک تویی کبر ریا خرج هرگز نمی‌رود بساط کبر ریا کبریا تویی خیر محضی بدنام شر محض سیاه‌تر ز مس کیمیا تویی دنیای گره زده کار آخرت بگشا گره ز کار مشکل‌گشا تویی طبعم مریض کشمکش روزگار رب دردهای نهانی دوا تویی تو‌گر خدای دگر می‌بردمی پناه ولیکن خدا تویی ترسم هستم امیدوار مقصود نتیجه خوف رجا تویی مبین خواب غفلتیم ببین رافع ابتلا تویی پناه آل عبا نموده‌ایم بگذر ز حامی آل عبا تویی امید دوستی دوستان دوستان قرین صدق صفا تویی واخجلتا ز معصیت ( صامت ) ای خدا رسوا مکن مرا قدیم‌العطا تویی رب مرا چنگ بلا مبتلا مکن دست مرا ز دامن لطفت جدا مکن گذشته گرچه گناه خطای چشم گنه بپوش خطا مکن افعال وفق رضای تو‌گر ز لطف ، سد طریق رضا مکن درخور عذاب شایسته کرم کرم سلوک احوال مکن گرچه گناه پرده دریده_است کار رحمت پرده وا مکن ستاریست شیوه کون رسوا مرا ز جرم به‌روز جزا مکن معصیت حبس دعای ماست نادیده ز بخشش رد دعا مکن امیدوار لطف عطای بوده‌ایم قطع امیدواری ما‌ای خدا مکن جرم خطا پیشه‌ای رها ماجرا مکن ذات عبادت خلق بی‌نیاز ای بی‌نیاز شیوه رها مکن « ادعونی استجب لکم » اندر کلام جرم ز وعده قرآن ابا مکن کون دست گنهکار جدا دامن مودت آل عبا مکن آفتاب گرم قیامت مرا برون سایه لوای شه لافتی مکن خدمت ائمه اثنی عشر حشر جدا حق شه کربلا مکن تعجیل کن ظهور امام عصر زین غیبت مقتدا مکن اسلام منهدم زین دگر منع ظهور مهدی صاحب لوا مکن ( صامت ) سگ سلطان اولیا ز جابجا مکن رب ز پرده وا کنی خجلت ابدی مبتلا کنی ابلیس‌وار جامه طغیان گر یک‌نفس رها کنی کس جان جفا ز ترحم وفا کنی روزی دهی
3,3,36,bahar,4parebk,5,کره پست حقیر قبه مینای بلند خرسند کس خرد کبیر بیهده باشم خرسند شده‌ام اشیا باریک رفته سرحد اسرار چیست هستی ؟ افقی بس تاریک وندر نقطه شکی مشهود بجز نقطه نورانی شک افق تیره فروغ عشق بستم حقایق یک‌یک راست گویم وهم دروغ وهمیم نیاید به‌نظر غم شادی خوش ناخوش بد نکندکوکبه صبح دگر برم جلوه ، تشییع غروب عصیان زده مستاصل محو گرداب روح عظیم کشتی بشکسته دکل امواج حوادث تسلیم خلق طبیعت ز ازل بدو قانون پلید ارزانی سر تأثیر وراثت ، رمز تاثیر تعلم ، ثانی روح من‌گر ز نیاکان ای خدا بدبخت که‌ام و‌گر روح خرد زان بسته بند وراثت ز چه‌ام نیا عابد عارف مشرب نیا لشگری دیوانی پدرم شاعر زین نسب شاعر لشکری روحانی جد تاجر زین پدر آهنگ تجارت فرمود تربیتش گشت هدر لیک روح آسیب زاهد محاسب ظریف تاجر سپاهی ندیم باب حریف حریف کار علیم علیم سخت سنگ سپهر غماز دمم جگر افکنده خدنگ گونی بهر نشان ، تیرانداز هدفی سرخ نشانیده سنگ بیایید‌ای کبوترهای دلخواه سحرگاهان مرغ طلایی بپرید فراز بام ناگاه ببینمتان قصد خودنمایی بدن کافورگون پاها چو شنگرف فشاند ز برج خاور گرد فرود آیید برف کشیده سر ز شیشه فرو خوانده سرود گناهی کشیده عاشقانه زمین دم گوشم ، نسیم صبحگاهی نوید عشق آید زان ترنم سحرگه سرکنید آرام آرام نواهای لطیف آسمانی عشاق بفرستید پیغام دمادم زبان بی‌زبانی مهیا‌ای عروسان نو آیین بگشایم آشیان خروش بال‌هاتان اندر حین رود خانه کوی برزن گوبی خلد برین چو رویتان بگشایم اندر افرشته‌وش یکباره پرواز گردون دوخته ، افرشتگان چرخ نازل زعم مردمان باستانی افرشتگان سطح منزل بگیرید اوج گردید آسمانی نیاید وگر مانید بس بی‌آب دانه فریادی قیلی قالی بجز دلکش سرود عاشقانه فرود آیید ای یاران بام کف‌اندر‌کف‌زنان رقص‌رقصان نشینید سطح آرام انسان بیایید‌ای رفیقان وفادار بهرتان افشانم ارزن دیدار بهر زار دیدن مردان برزن سیصد شصت ربعی روز سال هست مدام ماه روز دگر بد پایان سال ، پنجی نام گشت پنجی فزوده آخر سال آداب سنت دیرین جشن « اندرگاه » اسفند ماه فروردین گشتی ز ربع روز ، مهی جشن « وهیزک » اندر « بهترک » ضبط گشته فرهنگ جشن روزه سخت عزیز گذشتی ز سال‌ها صد بیست ماه آبان لیک نامش « وهیزک » اندر ایران مذهب زردشت موبدان مغان زیج رصد داشتندی حساب سال درست نگردد سنت ملی جشن‌ها منحرف ز روز ز ساسانیان قرن گذشت فرامش دویست سال دگر « پنجی » « وهیزک » نداد خبر اسلام ماه بد قمری روز یاد لاجرم نوروز گه آبان مرداد کار قسط خراج کشت درو واپس افتاد وضع دشوار معتضد خلیفه فرمود زیج‌ها نو ملکشاه جهان‌آرای بودش لقب جلال‌الدین رصدی تازه بست زیجی عدد روز ماه گشت تقویم‌ها راست جلالی نام تاریخش ازینگونه مبدأ تقویم بگفتم تاریخش روزی شرح گفتیم گشت قسمت چندین ماه ماه‌ها گشت بلند دگرکوتاه « لا » « لب » چارم پنجم ششم « لا » « للکط » « کطلل » بونصر نصاب املا* ربع روزی گفته_شد زین چار سال گرد آید چار سال اسفند روزی ربع‌ها بیفزاید ز نو سال ماه قمری هجوم مغول سال
4,4,34,bahar,tarjeebk,8,شاهی شاهی ز صد شکر صد حیف تیری کمان قصد دل خصم هم‌گر خطا ناگه تیری ز کمان سلطان جوان شاد خوش پیروز وان انده دیرین ز دل پیر جوان ملکی راد آمدن عیش ، نوید رنج ، نشان آمدن شه رفتن شاه بیتی زبان کاول زبان المنه لله جهان جوان وین شاه فلک مرتبه سلطان جهان جم رتبه محمدعلی شاه جوان‌بخت کز فر ملک کهن گشته ، جوان شاهی عهدش جهان فتنه دیده فتان بتان نهان بسترد کفش خاک غم جهان لیک خاک غم سر گنجینه کان بگزید چو مسند اورنگ پدر ملک فلک ورد زبان امروز شادی کار دگری کز دوحه اندوه انده ثمری زین دل‌خوش کن زان رفته مخور غم کز رفته گیتی خبری ای ترک بدین مژده بده باده امروز ره وصلت گذری تیر صید اهل نظری صید نظری لیکن ز حدیث امروز دهر نکته حدیث دگری روز دست دگری تاج نگین هست ملکی کش غم ملک غم دین بگذشت شهی کش غم ملک غم دین شاه ایوان شهی صدرنشین گشت وآن شاه ایوان شهی صدرنشین برتخت شهی شه منصور ، مکین باد چونان مظفر شه مغفور ، مکین زین قصه وز غصه سخن پایان سخن چو بدیدی جشنی امروز بدین مژده بباید نیکوتر زیباتر جشن نشاید جشنی صدر اندر بنشسته امیری کز خوی نکو زنگ غم دل بزداید فخرالامرا آصف دولت ز جودش حاتم تحیر سر انگشت بخاید فرمانده خاور ز عدل سخط تیهو بچه صید ازکف شاهین برباید آراسته امروز بزم دم سخن نادره آید هست جهان ، خسرو شاه جهان باد فر جهانداری بخت جوان باد دیروز ملک‌زاده امروز ملک گشت قرن دوصد قرن چنان باد عیش تن وآسایش جان باد عیش تن اسایش جان باد سایه آصف دولت خراسان ایمن ز غم محنت آسیب زمان باد وین بنده بهارش جهان مدح سراباد وین ز سخن خلق روان باد ده دوران جانکاه آسوده_شد ملک ، الملک‌لله شاه نو اقبال همراه کوس شهی کوفت رغم بدخواه غم رهنمون جان یار غم گشت ، دل غرق خون مام وطن رخ نیلگون امروز دشمن خوار زبون چندی ز بیداد فرسوده گشتیم خاک خون آلوده گشتیم خصم پیموده گشتیم امروز آسوده گشتیم کشتند بستند قلب وطن کینه خستند کج نهادی پیمان شکستند چنگ ملت آخر نجستند جور منسوب گشتند پیکر ملک میکروب گشتند آخر ملت مغضوب گشتند ساحت ملک جاروب گشتند کدخدا دید جور شبان برانگیخت ستارخان سد ستم ساخت مرزبان رنگین تیغ سنان مستبدین لختی جهیدند گفتند لختی ، لختی شنیدند ناگه ز سو شیران رسیدند روبهان دم درکشیدند یک‌سو سپهدار فتنه سد یک‌سو یورش برد سردار اسعد ضرغام دل ، ز کف گرفتند تیغ مهند اقبال یار بختیاری گیلانیان حق یاری جیش عدو یکسر فراری کنج غم گشت دشمن حصاری بد خواه دین سدی متین لیکن مر غم کمین خاکش سر پاداشش دشمن عیش دایم قرین بخت سپهدار فرخنده بادا سردار اسعد پاینده بادا صمصام ایران برنده بادا ضرغام دین دل زنده بادا ستارخان بادا ظفر یار تبریزیان یزدان نگهدار سالارشان نیکو کار احرار دل باد بیدار چندگویی مانده ویران هند افغان خوارزم ایران چندگویی جسته مأوا خرس پتیاره شیران چندگویی روز حاجت مانده ازکار
5,5,39,ghaani,ghazalgh,20,صدشکر گو‌یم زمان چنگ جام کاین بردند ننگ نام دلتنگم فرزانگی دارم سر دیوانگی کز دهم بیگانگی عام خواهم_جنونی صف‌شکن آشوب جان مرد زن آرد شورش تن تن پخته خام مرغ پرد قفس نیندیشد ز کس بیند مدام دانه دام قاآنی ار همت کنی دل عالم برکنی یکباره درهم بشکنی شیشه جام زین کار ناید رطل سبو مرا ساقی خم می‌بنشان گلو مرا لخت جگر کباب خون دل شراب کاین بد غرض ز کلوا اشربوا مرا باده‌نوش نور جان نهی بهر تجربه لاتسرفوا مرا می‌مده مرا ز سبو دهی راهی ز خم می‌بگشا سبو مرا خمی بساز گل صلصال آب فیض وانگوروار سر ببر مرا چندی بپوش سر خم بگسلد یکباره حلاوت تن آرزو مرا حلاوت تلخی آشکار تلخیی هست حلاوت مرا لتها زند چوب بلا عشق سرم خیزد نفس مشکبو مرا جان هزار ره آید نموده کف شادی کنان تن ناپاک کو مرا خون چشم ببینم کف ناید لب کف طرب‌های هو مرا عشق غیور کف خشم گویدش تنم خواندی عدو مرا کشتم مصلحتی عقل نشناسدم ز بس نگرد مرا کشم نگویی هیچ‌کس سر مهر حکمت راز مگو مرا مستت ز باده می‌را حرام بوی باده پرده کشد مرا هشتاد تازیانه زنم وقت هوش مستی ار عقل شوی رازگو مرا کاین عقل جزوی نظم معاش هست محتاط شحنه‌ای سر چارسو مرا ساقی کنون قدر می‌شناختی حوضی ز می‌بساز کن فرو مرا تلخ آیدم کام باده هست کز عهد مهد دایه می‌داده خو مرا آلایش کونم هست باک آب رحمتست سشت شو مرا عمر نماز شهادت مرا بس دم علی خون وضو مرا موی شیر زرد نزارم مبین هست صد شیر شرزه بسته تار مو مرا بیم عشق لالم ترسم برجهد دل سر زبان دل گفتگو مرا آسوده هست جانم آلوده پیکرم زشت زشت بیند نیکو نکو مرا سر بسته جوی آبم پای هرگز نجوییم چو بینی بجو مرا گر عکس آینه وهم تست زشت وهم قیاس مکن‌ای عمو مرا ناژوی راست قامت آب جویبار عکسش نماید نگون هین بگو مرا نشنیدی کنیز خاتون گغت کشتت فلان خر چو ندیدی کدو مرا پنهان چو جام خنده زنم‌گر آشکار شیشه خون دل دود اندر گلو مرا گم شدم ز عضوم شدست روح گم شو ز خویش‌ای کنی جستجو مرا قول دوست وصف ار مرنج کاین شور و‌های هو از‌های هو مرا عشق زبان صفت وصف ملامت بیهوده گو مرا طبال پرده قواره پوست خروش دمدمه روبرو مرا تعویذ روح حرز تنم مهر مصطفاست چاکهای دل رفو مرا رحمه‌الله همی روز شب نهان خواند گوش آیت لاتقنطوا مرا اشک‌های بی‌خبر چشم دل مگر قا آنیا آبرو مرا کنون برگ نوا باغ بستان بساز برگ نوای دی زمستان گلوی بلبله راح ارغوانی گیر بدل گل سحر بلبل خوش‌الحان چو آفتاب می‌و صبح ساقی هست چراغ شمع حاجت شبستان فروخته گوهر نور جمال دلیل شب تیره پور عمران قرین شکر عود شراب شمع طیور بابزن بره‌های بریان چو اسباب عیش موی موی حلقه آر سر زلفکی پریشان شو آستین بتی درکش ز زلف رخش بنفشه گل کن دامان عبیر عود آتش منه بگیر بده باد طره مشکین عنبرافشان ار نماند درختان بوستان درخت قامت
6,6,4,moulavi,shams daftar2,20,-
7,7,12,ferdousi,shahname hushang,3,جهاندار هوشنگ رای نیا تاج سر نهاد بگشت برش چرخ سالی چهل هوش مغز رای دل چو بنشست جایگاه مهی تخت شاهنشهی هفت کشور منم پادشا جهاندار پیروز فرمانروا فرمان یزدان پیروزگر دهش تنگ بستم کمر زان جهان یک‌سر آباد گیتی گوهر چنگ آتش ز آهن جدا سنگ سر مایه آهن آبگون کز سنگ خارا کشیدش برون روز شاه جهان کوه گذر کس هم‌گروه پدید دراز سیه رنگ تیره تن تیز تاز چشم سر چو چشمه خون ز دود دهانش جهان تیره‌گون نگه هوشنگ باهوش سنگ گرفتش سنگ تیز چنگ زور کیانی رهانید دست جهان‌سوز مار جهان‌جوی جست سنگ گران‌سنگ خرد سنگ بشکست گرد فروغی پدید سنگ دل سنگ گشت فروغ آذرنگ نشد مار کشته ولیکن ز راز طبع سنگ آتش فراز جهاندار جهان‌آفرین نیایش همی خواند آفرین فروغی هدیه آتش آنگاه قبله نهاد بگفتا فروغی ایزدی پرستید بخردی شب افروخت آتش چو کوه شاه گرد گروه جشن شب باده خورد سده نام جشن فرخنده ز هوشنگ ماند سده یادگار بسی باد دگر شهریار کز آباد جهان شاد جهانی نیکی یاد چو بشناخت آهنگری پیشه آهنگری اره تیشه چو کرده_شد چاره آب ساخت ز دریای‌ها رودها بتاخت جوی رود آب‌ها فرخندگی رنج کوتاه چراگاه مردم بدان برفزود پراگند تخم کشت درود برنجید نان بورزید بشناخت سامان بدان ایزدی جاه فر کیان ز نخچیر گور گوزن ژیان جدا گاو خر گوسفند ورز آورید آن‌چه بد سودمند ز پویندگان مویش نکوست بکشت سرشان برآهیخت پوست چو روباه قاقم چو سنجاب نرم سمور کش موی گرم این‌گونه چرم پویندگان بپوشید بالای گویندگان برنجید گسترد خورد سپرد برفت نام نیکی نبرد بسی رنج برد اندر روزگار افسون اندیشه بی‌شمار چو آمدش روزگار بهی مردری ماند تخت مهی زمانه ندادش زمانی درنگ هوش هوشنگ فر سنگ نپیوست خواهد_جهان مهر آشکارا نمایدت چهر
8,8,8,moulavi,shams daftar6,20,-
9,9,3,moulavi,shams daftar1,20,-
